# z  H_LCDM[1/Mpc]  H_GREA[1/Mpc]  H_ratio-1  w_GREA
1.095608607e-01 2.456015448e-04 2.453274313e-04 -1.116090427e-03 -1.029830406e+00
1.104554439e-01 2.457082056e-04 2.454285220e-04 -1.138275366e-03 -1.030111503e+00
1.113507483e-01 2.458150782e-04 2.455297766e-04 -1.160635073e-03 -1.030392374e+00
1.122467746e-01 2.459221629e-04 2.456311955e-04 -1.183168736e-03 -1.030673016e+00
1.131435234e-01 2.460294601e-04 2.457327792e-04 -1.205875543e-03 -1.030953429e+00
1.140409951e-01 2.461369701e-04 2.458345281e-04 -1.228754681e-03 -1.031233611e+00
1.149391904e-01 2.462446933e-04 2.459364429e-04 -1.251805335e-03 -1.031513562e+00
1.158381098e-01 2.463526300e-04 2.460385238e-04 -1.275026689e-03 -1.031793279e+00
1.167377541e-01 2.464607806e-04 2.461407715e-04 -1.298417924e-03 -1.032072762e+00
1.176381236e-01 2.465691455e-04 2.462431864e-04 -1.321978222e-03 -1.032352009e+00
1.185392191e-01 2.466777249e-04 2.463457690e-04 -1.345706764e-03 -1.032631020e+00
1.194410411e-01 2.467865192e-04 2.464485197e-04 -1.369602728e-03 -1.032909792e+00
1.203435902e-01 2.468955289e-04 2.465514391e-04 -1.393665293e-03 -1.033188325e+00
1.212468670e-01 2.470047541e-04 2.466545276e-04 -1.417893636e-03 -1.033466617e+00
1.221508720e-01 2.471141954e-04 2.467577858e-04 -1.442286933e-03 -1.033744668e+00
1.230556059e-01 2.472238530e-04 2.468612140e-04 -1.466844359e-03 -1.034022475e+00
1.239610692e-01 2.473337272e-04 2.469648129e-04 -1.491565088e-03 -1.034300037e+00
1.248672626e-01 2.474438186e-04 2.470685828e-04 -1.516448294e-03 -1.034577354e+00
1.257741866e-01 2.475541273e-04 2.471725243e-04 -1.541493148e-03 -1.034854424e+00
1.266818417e-01 2.476646538e-04 2.472766378e-04 -1.566698823e-03 -1.035131245e+00
1.275902287e-01 2.477753984e-04 2.473809239e-04 -1.592064488e-03 -1.035407817e+00
1.284993481e-01 2.478863614e-04 2.474853831e-04 -1.617589313e-03 -1.035684138e+00
1.294092004e-01 2.479975433e-04 2.475900157e-04 -1.643272466e-03 -1.035960207e+00
1.303197864e-01 2.481089443e-04 2.476948224e-04 -1.669113115e-03 -1.036236022e+00
1.312311064e-01 2.482205649e-04 2.477998036e-04 -1.695110428e-03 -1.036511583e+00
1.321431613e-01 2.483324054e-04 2.479049598e-04 -1.721263571e-03 -1.036786888e+00
1.330559514e-01 2.484444661e-04 2.480102916e-04 -1.747571708e-03 -1.037061936e+00
1.339694775e-01 2.485567474e-04 2.481157993e-04 -1.774034004e-03 -1.037336725e+00
1.348837402e-01 2.486692496e-04 2.482214834e-04 -1.800649622e-03 -1.037611254e+00
1.357987399e-01 2.487819732e-04 2.483273446e-04 -1.827417724e-03 -1.037885523e+00
1.367144774e-01 2.488949185e-04 2.484333833e-04 -1.854337471e-03 -1.038159529e+00
1.376309532e-01 2.490080857e-04 2.485395999e-04 -1.881408026e-03 -1.038433271e+00
1.385481679e-01 2.491214754e-04 2.486459951e-04 -1.908628549e-03 -1.038706749e+00
1.394661221e-01 2.492350878e-04 2.487525692e-04 -1.935998199e-03 -1.038979960e+00
1.403848164e-01 2.493489234e-04 2.488593227e-04 -1.963516135e-03 -1.039252904e+00
1.413042514e-01 2.494629824e-04 2.489662563e-04 -1.991181514e-03 -1.039525579e+00
1.422244277e-01 2.495772652e-04 2.490733703e-04 -2.018993494e-03 -1.039797984e+00
1.431453459e-01 2.496917722e-04 2.491806653e-04 -2.046951230e-03 -1.040070118e+00
1.440670066e-01 2.498065038e-04 2.492881418e-04 -2.075053878e-03 -1.040341979e+00
1.449894103e-01 2.499214602e-04 2.493958003e-04 -2.103300593e-03 -1.040613566e+00
1.459125578e-01 2.500366420e-04 2.495036412e-04 -2.131690531e-03 -1.040884878e+00
1.468364495e-01 2.501520494e-04 2.496116652e-04 -2.160222845e-03 -1.041155914e+00
1.477610862e-01 2.502676827e-04 2.497198726e-04 -2.188896687e-03 -1.041426672e+00
1.486864683e-01 2.503835425e-04 2.498282641e-04 -2.217711210e-03 -1.041697151e+00
